nombre_agencia,ciudad,longitud,latitud
MARCOS PORCEL SEÑAS,SUCRE,-65.2739,-18.9968
ANDREAS CONSTRUCCIONES,TARIJA,-64.7157,-21.5238
OSCAR ARTURO VEIZAGA SILES,TIQUIPAYA,-66.2274,-17.3563
LUZMILA CANCHARI ALVAREZ,SUCRE,-65.3051,-19.0143
ROBER ANGEL MENDOZA ROSALES,MARIANA,-63.9543,-18.1253
SANDRA GUADALUPE MENDEZ MERCADO,COTOCA,-62.995,-17.7383
ROXANA CHIRINOS BASPINEIRO,SUCRE,-65.2183,-19.0837
ERICK RONAL VILLAGOMEZ CALERO,SUCRE,,
NANDOR RODRIGO LOAYZA CORO,SUCRE,,
VALERIO VASQUEZ AVALOS,SUCRE,-65.278,-18.9917
NINOSKA BETZABETH FIGUEROA TORREZ,UNCIA,-66.5652,-18.4654
SUPERMAT,SUCRE,,
JAVIER GONZALES BARRIENTOS,SUCRE,-65.2606,-19.0192
MARIA DEL ROSARIO LAREDO MURIEL,SUCRE,,
MAURA COCA TAPIA,SUCRE,,
WALDO SULLCA NARVAEZ,SUCRE,,
COMERCIAL WMJ,LLALLAGUA,-66.5699,-18.4259
FABIOLA MARTINEZ GONZALES,SUCRE,-65.2444,-19.038
OSRAEL AVENDAÑO AVALOS,SUCRE,,
STHEFANNY ALEJANDRA GONZALES DOMINGUEZ,MONTEAGUDO,-63.9791,-19.8102
EDMUNDO RIVERA PADILLA,SUCRE,,
DANIELA ALEJANDRA CAMACHO LOZA,SUCRE,,
EUGENIA LLANOS FLORES,SUCRE,,
GRISEL VERONICA VILLEGAS SILES,SAMAIPATA,-63.855,-18.1765
ARACELI SONIA VALLEJOS BARRIOS,SUCRE,,
MARTHA ESTRADA MATURANO,SUCRE,-65.2679,-19.0245
ENRIQUE DURAN DAZA,SUCRE,,
NESTRO RAUL AGUILAR QUINTEROS,SUCRE,-65.2969,-19.019
